"","ONTOLOGY","TERM","N","DE","P.DE","FDR"
"GO:0003331","BP","positive regulation of extracellular matrix constituent secretion",3,3,0.869870884568483,1
"GO:0003332","BP","negative regulation of extracellular matrix constituent secretion",4,4,0.844107561436144,1
"GO:0003333","BP","amino acid transmembrane transport",103,103,0.0123435279597045,0.444771712384108
"GO:0003334","BP","keratinocyte development",14,14,0.549437963223481,1
"GO:0003335","BP","corneocyte development",3,3,0.873517651804134,1
"GO:0003336","BP","corneocyte desquamation",2,2,0.909666127940576,1
"GO:0003337","BP","mesenchymal to epithelial transition involved in metanephros morphogenesis",11,11,0.634851175159779,1
"GO:0003338","BP","metanephros morphogenesis",29,29,0.29696495443028,1
"GO:0003339","BP","regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis",7,7,0.749202050639171,1
"GO:0003340","BP","negative regulation of mesenchymal to epithelial transition involved in metanephros morphogenesis",2,2,0.919097171592525,1
"GO:0003341","BP","cilium movement",260,255,0.0277809534499714,0.754790305105526
"GO:0003342","BP","proepicardium development",2,2,0.921480387946051,1
"GO:0003343","BP","septum transversum development",2,2,0.921480387946051,1
"GO:0003344","BP","pericardium morphogenesis",8,8,0.706125926139053,1
"GO:0003345","BP","proepicardium cell migration involved in pericardium morphogenesis",1,1,0.955195947167123,1
"GO:0003348","BP","cardiac endothelial cell differentiation",6,6,0.783906721956193,1
"GO:0003350","BP","pulmonary myocardium development",3,3,0.883748114369532,1
"GO:0003351","BP","epithelial cilium movement involved in extracellular fluid movement",50,50,0.115720155866771,1
"GO:0003352","BP","regulation of cilium movement",42,42,0.154126794660208,1
"GO:0003353","BP","positive regulation of cilium movement",15,15,0.507053074531516,1
"GO:0003354","BP","negative regulation of cilium movement",3,3,0.85433507730333,1
"GO:0003356","BP","regulation of cilium beat frequency",17,17,0.48505508087796,1
"GO:0003357","BP","noradrenergic neuron differentiation",10,10,0.664847877545208,1
"GO:0003358","BP","noradrenergic neuron development",4,4,0.849074753876343,1
"GO:0003359","BP","noradrenergic neuron fate commitment",1,1,0.95969441072623,1
"GO:0003360","BP","brainstem development",7,7,0.742415721928786,1
"GO:0003363","BP","lamellipodium assembly involved in ameboidal cell migration",1,1,0.956077800940806,1
"GO:0003365","BP","establishment of cell polarity involved in ameboidal cell migration",2,2,0.92172408943692,1
"GO:0003366","BP","cell-matrix adhesion involved in ameboidal cell migration",2,2,0.917194827771776,1
"GO:0003376","BP","sphingosine-1-phosphate receptor signaling pathway",17,17,0.488908785973832,1
"GO:0003382","BP","epithelial cell morphogenesis",36,36,0.219722689006998,1
"GO:0003383","BP","apical constriction",5,5,0.816576153446455,1
"GO:0003400","BP","regulation of COPII vesicle coating",5,5,0.80872992502275,1
"GO:0003401","BP","axis elongation",30,29,0.653246549457947,1
"GO:0003404","BP","optic vesicle morphogenesis",2,2,0.920388910293531,1
"GO:0003406","BP","retinal pigment epithelium development",9,9,0.675872697779206,1
"GO:0003407","BP","neural retina development",89,87,0.281835994653858,1
"GO:0003408","BP","optic cup formation involved in camera-type eye development",2,2,0.922227250353217,1
"GO:0003409","BP","optic cup structural organization",1,1,0.960456723969827,1
"GO:0003412","BP","establishment of epithelial cell apical/basal polarity involved in camera-type eye morphogenesis",1,1,0.960473071265188,1
"GO:0003413","BP","chondrocyte differentiation involved in endochondral bone morphogenesis",15,15,0.53082729190774,1
"GO:0003414","BP","chondrocyte morphogenesis involved in endochondral bone morphogenesis",1,1,0.95955288221483,1
"GO:0003415","BP","chondrocyte hypertrophy",6,6,0.781333754530193,1
"GO:0003416","BP","endochondral bone growth",30,30,0.277700089842211,1
"GO:0003417","BP","growth plate cartilage development",21,21,0.412042162458617,1
"GO:0003418","BP","growth plate cartilage chondrocyte differentiation",10,10,0.655163800228098,1
"GO:0003419","BP","growth plate cartilage chondrocyte proliferation",4,4,0.834314531019792,1
"GO:0003420","BP","regulation of growth plate cartilage chondrocyte proliferation",1,1,0.959572074993313,1
"GO:0003421","BP","growth plate cartilage axis specification",1,1,0.953829737455188,1
"GO:0003422","BP","growth plate cartilage morphogenesis",2,2,0.915437773517197,1
"GO:0003429","BP","growth plate cartilage chondrocyte morphogenesis",1,1,0.95955288221483,1
"GO:0003430","BP","growth plate cartilage chondrocyte growth",3,3,0.884919385561373,1
"GO:0003431","BP","growth plate cartilage chondrocyte development",6,6,0.778450792135039,1
"GO:0003433","BP","chondrocyte development involved in endochondral bone morphogenesis",9,9,0.687338881196032,1
"GO:0003674","MF","molecular_function",17041,16450,1.14311956264967e-19,4.18762799783997e-16
"GO:0003676","MF","nucleic acid binding",4031,3836,0.968502249588277,1
"GO:0003677","MF","DNA binding",2372,2299,0.0013957183470613,0.0810757938670153
"GO:0003678","MF","DNA helicase activity",56,51,0.970110539761555,1
"GO:0003680","MF","minor groove of adenine-thymine-rich DNA binding",9,9,0.690377647256285,1
"GO:0003681","MF","bent DNA binding",1,1,0.958756914811488,1
"GO:0003682","MF","chromatin binding",578,565,0.00895149812120786,0.348237041954245
"GO:0003684","MF","damaged DNA binding",73,69,0.812390231825122,1
"GO:0003688","MF","DNA replication origin binding",15,13,0.975397652204385,1
"GO:0003689","MF","DNA clamp loader activity",9,9,0.680786040932284,1
"GO:0003690","MF","double-stranded DNA binding",1517,1483,7.06282390102389e-06,0.000985947685446768
"GO:0003691","MF","double-stranded telomeric DNA binding",9,8,0.947591480123713,1
"GO:0003692","MF","left-handed Z-DNA binding",1,1,0.959634371149841,1
"GO:0003696","MF","satellite DNA binding",4,4,0.841090272793078,1
"GO:0003697","MF","single-stranded DNA binding",117,111,0.775939174380897,1
"GO:0003700","MF","DNA-binding transcription factor activity",1328,1307,1.54514250911248e-08,5.95828637724427e-06
"GO:0003707","MF","nuclear steroid receptor activity",26,26,0.33721936325011,1
"GO:0003711","MF","transcription elongation factor activity",8,7,0.956037543226079,1
"GO:0003712","MF","transcription coregulator activity",496,483,0.0469263461902241,1
"GO:0003713","MF","transcription coactivator activity",275,266,0.292820176476892,1
"GO:0003714","MF","transcription corepressor activity",198,194,0.0821724572922946,1
"GO:0003720","MF","telomerase activity",6,6,0.778451280977176,1
"GO:0003723","MF","RNA binding",1862,1726,0.99999999918386,1
"GO:0003724","MF","RNA helicase activity",72,66,0.969450962336303,1
"GO:0003725","MF","double-stranded RNA binding",74,68,0.9659522091527,1
"GO:0003726","MF","double-stranded RNA adenosine deaminase activity",6,6,0.779355554869056,1
"GO:0003727","MF","single-stranded RNA binding",82,77,0.868905550600302,1
"GO:0003729","MF","mRNA binding",595,548,0.999876260798093,1
"GO:0003730","MF","mRNA 3'-UTR binding",235,216,0.992227766520604,1
"GO:0003735","MF","structural constituent of ribosome",156,135,0.999998364329779,1
"GO:0003743","MF","translation initiation factor activity",45,40,0.988795273163593,1
"GO:0003746","MF","translation elongation factor activity",17,15,0.965124418813199,1
"GO:0003747","MF","translation release factor activity",6,5,0.977421559731841,1
"GO:0003755","MF","peptidyl-prolyl cis-trans isomerase activity",30,26,0.991708340618761,1
"GO:0003756","MF","protein disulfide isomerase activity",18,18,0.454949831753541,1
"GO:0003774","MF","cytoskeletal motor activity",112,111,0.0503951059189685,1
"GO:0003777","MF","microtubule motor activity",66,65,0.240592878653546,1
"GO:0003779","MF","actin binding",423,416,0.00295934880113534,0.148847795535365
"GO:0003785","MF","actin monomer binding",24,23,0.727587179780919,1
"GO:0003796","MF","lysozyme activity",7,6,0.957266997841581,1
"GO:0003810","MF","protein-glutamine gamma-glutamyltransferase activity",9,9,0.679715261597172,1
"GO:0003823","MF","antigen binding",54,53,0.299210593540192,1
"GO:0003824","MF","catalytic activity",5235,5058,0.000172301965212289,0.0150285602990719
"GO:0003827","MF","alpha-1,3-mannosylglycoprotein 2-beta-N-acetylglucosaminyltransferase activity",1,1,0.960456260007931,1
"GO:0003828","MF","alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity",6,6,0.770590388210944,1
"GO:0003829","MF","beta-1,3-galactosyl-O-glycosyl-glycoprotein beta-1,6-N-acetylglucosaminyltransferase activity",3,3,0.877085638641554,1
"GO:0003830","MF","beta-1,4-mannosylglycoprotein 4-beta-N-acetylglucosaminyltransferase activity",1,1,0.960303738748803,1
"GO:0003831","MF","beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity",4,4,0.847607031685983,1
